id,Title,Content_Type,Category,Language
54,"Kanser Sonrasi Hayata Donus Neden Zordur?",Blog Post,Oncology/Wellness,tr
55,"MENOPOZDA KENDINE RESET PROGRAMI-1",Webinar/Program,Sexual Health/Menopause,tr
56,"ILK GECE KORKUSU NEDEN YASANIR?",Blog Post,Sexual Health/Menopause,tr
57,"DOGUM SONRASI CINSELLIK NASIL OLMALI?",Blog Post,Sexual Health/Menopause,tr
58,"CINSEL TERAPIST NE YAPAR?",Blog Post,Sexual Health/Menopause,tr
59,"RAHIM AGZI KANSERI NEDEN OLUSUR?",Blog Post,Oncology/Wellness,tr
60,"Meme Kanseri Sonrasi Yeni Yasama Uyum",Webinar/Program,Oncology/Wellness,tr
